Horário;Conta;Instrumento;Lado;QtdOrdem;QtdExecucaoAtual;QtdExecutadaAcumulada;PrecoExecutado;NotionalOrdem;NotionalExecuçãoAtual;NotionalExecuçãoAcumulada;EnteringTrader
2021-11-22T00:09:14.895;319679029;PETR;C;4.0;4.0;4.0;1.32383205710103;5.29532822840412;5.29532822840412;5.29532822840412;319679029
2021-11-22T00:09:14.895;915841834;GOLL;C;3.0;3.0;3.0;1.62576006697239;4.87728020091717;4.87728020091717;4.87728020091717;915841834
2021-11-22T00:09:14.895;319679029;PETR;C;9.0;9.0;9.0;1.55575074367803;14.00175669310227;14.00175669310227;14.00175669310227;319679029
2021-11-22T00:09:14.895;298833807;BBDC;V;6.0;6.0;6.0;1.54082508134286;9.24495048805716;9.24495048805716;9.24495048805716;298833807
2021-11-22T00:09:14.895;783617353;ITUB;C;1.0;1.0;1.0;1.86588799589165;1.86588799589165;1.86588799589165;1.86588799589165;783617353
2021-11-22T00:09:14.895;319679029;VALE;C;2.0;2.0;2.0;1.3852018321874;2.7704036643748;2.7704036643748;2.7704036643748;319679029
2021-11-22T00:09:14.895;298833807;EQTL;C;2.0;2.0;2.0;1.10355952858089;2.20711905716178;2.20711905716178;2.20711905716178;298833807
2021-11-22T00:09:14.910;98863281;ABEV;V;2.0;2.0;2.0;1.70533949523148;3.41067899046296;3.41067899046296;3.41067899046296;98863281
2021-11-22T00:09:14.911;319679029;B3SA;V;4.0;4.0;4.0;1.50301701025574;6.01206804102296;6.01206804102296;6.01206804102296;319679029
2021-11-22T00:09:14.911;319679029;VALE;C;7.0;7.0;7.0;1.40214011702715;9.81498081919005;9.81498081919005;9.81498081919005;319679029
2021-11-22T00:09:14.911;298833807;PETR;V;7.0;7.0;7.0;1.74348423488808;12.20438964421656;12.20438964421656;12.20438964421656;298833807
2021-11-22T00:09:14.912;915841834;BBDC;V;1.0;1.0;1.0;1.04638327377982;1.04638327377982;1.04638327377982;1.04638327377982;915841834
2021-11-22T00:09:14.912;853085433;BBAS;V;1.0;1.0;1.0;1.80809037608646;1.80809037608646;1.80809037608646;1.80809037608646;853085433
2021-11-22T00:09:14.912;319679029;GOLL;C;6.0;6.0;6.0;1.91214940202424;11.47289641214544;11.47289641214544;11.47289641214544;319679029
2021-11-22T00:09:14.913;319679029;BBDC;C;6.0;6.0;6.0;1.44073834726681;8.64443008360086;8.64443008360086;8.64443008360086;319679029
2021-11-22T00:09:14.913;182178199;MGLU;C;8.0;8.0;8.0;1.66181970228944;13.29455761831552;13.29455761831552;13.29455761831552;182178199
2021-11-22T00:09:14.913;947370826;ABEV;C;7.0;7.0;7.0;1.19988439169748;8.399190741882359;8.399190741882359;8.399190741882359;947370826
2021-11-22T00:09:14.913;947370826;ITUB;C;3.0;3.0;3.0;1.18395422077687;3.55186266233061;3.55186266233061;3.55186266233061;947370826
2021-11-22T00:09:14.914;853085433;EQTL;V;6.0;6.0;6.0;1.84723520158178;11.083411209490679;11.083411209490679;11.083411209490679;853085433
2021-11-22T00:09:14.914;720048195;PETR;C;1.0;1.0;1.0;1.31728581476369;1.31728581476369;1.31728581476369;1.31728581476369;720048195
2021-11-22T00:09:14.914;783617353;PETR;V;10.0;10.0;10.0;1.4680600848459;14.680600848459001;14.680600848459001;14.680600848459001;783617353
2021-11-22T00:09:14.915;298833807;EQTL;C;10.0;10.0;10.0;1.22596174657233;12.2596174657233;12.2596174657233;12.2596174657233;298833807
2021-11-22T00:09:14.916;319679029;PETR;V;5.0;5.0;5.0;1.56768347841645;7.83841739208225;7.83841739208225;7.83841739208225;319679029
2021-11-22T00:09:14.916;319679029;B3SA;V;5.0;5.0;5.0;1.9437746101908;9.718873050954;9.718873050954;9.718873050954;319679029
2021-11-22T00:09:14.916;182178199;ITUB;V;10.0;10.0;10.0;1.154950979706;11.54950979706;11.54950979706;11.54950979706;182178199
2021-11-22T00:09:14.916;720048195;VALE;C;1.0;1.0;1.0;1.24959041919979;1.24959041919979;1.24959041919979;1.24959041919979;720048195
2021-11-22T00:09:14.917;298833807;ITUB;C;4.0;4.0;4.0;1.87263552944637;7.49054211778548;7.49054211778548;7.49054211778548;298833807
2021-11-22T00:09:14.917;98863281;BBDC;C;7.0;7.0;7.0;1.99727445793976;13.980921205578321;13.980921205578321;13.980921205578321;98863281
2021-11-22T00:09:14.917;947370826;GOLL;C;6.0;6.0;6.0;1.24172873633371;7.45037241800226;7.45037241800226;7.45037241800226;947370826
2021-11-22T00:09:14.918;182178199;ABEV;V;9.0;9.0;9.0;1.80960428177987;16.28643853601883;16.28643853601883;16.28643853601883;182178199
2021-11-22T00:09:14.918;853085433;EQTL;C;10.0;10.0;10.0;1.20771740099762;12.077174009976199;12.077174009976199;12.077174009976199;853085433
2021-11-22T00:09:14.918;915841834;BBDC;V;8.0;8.0;8.0;1.49421510872405;11.9537208697924;11.9537208697924;11.9537208697924;915841834
2021-11-22T00:09:14.918;783617353;EQTL;V;3.0;3.0;3.0;1.01148064780012;3.0344419434003598;3.0344419434003598;3.0344419434003598;783617353
2021-11-22T00:09:14.919;98863281;PETR;V;10.0;10.0;10.0;1.87782798147105;18.778279814710498;18.778279814710498;18.778279814710498;98863281
2021-11-22T00:09:14.919;783617353;ITUB;C;8.0;8.0;8.0;1.9409000407063;15.5272003256504;15.5272003256504;15.5272003256504;783617353
2021-11-22T00:09:14.919;182178199;MGLU;C;6.0;6.0;6.0;1.28224861933497;7.69349171600982;7.69349171600982;7.69349171600982;182178199
2021-11-22T00:09:14.919;182178199;PETR;V;5.0;5.0;5.0;1.42204368078514;7.1102184039257;7.1102184039257;7.1102184039257;182178199
2021-11-22T00:09:14.920;182178199;B3SA;V;9.0;9.0;9.0;1.79672037936191;16.17048341425719;16.17048341425719;16.17048341425719;182178199
